crc32,archive,local_off,size,ntex,sample_dims_fmt
0x142A4603,0B,0x17C02800,2009063,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0x14BE17CD,0B,0x13E8B000,2332929,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0x157E0079,0B,0x8E1A800,1814025,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0x16553D59,0A,0x5D818000,1942979,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0x1673D77F,0B,0x15A5E800,2113887,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0x17EAF8C3,0A,0x61478800,1812921,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0x19307BF5,0A,0x6286C000,2031592,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0x19BD3672,0A,0x649C9800,1936675,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0x1A274A37,0A,0x60393000,1907295,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0x1AD20411,0B,0xD9AC800,2255437,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0x1C35F3A8,0A,0x3A44A800,2110653,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0x1CC3A4A7,0B,0x1282C800,1831790,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0x1E11D259,0A,0x5A4B6000,1843005,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0x1E84D83B,0A,0x6091E800,1995831,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0x1FE2B956,0B,0xBC31800,2062386,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0x1FF989CB,0B,0x11781800,1877582,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0x21AFB163,0A,0x5EC86000,1997516,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0x21EE8883,0B,0xFDCB000,2056283,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0x246DA50B,0B,0x1528B000,1788795,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0x2489E860,0A,0x61A8D800,2314501,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0x24C3BF1E,0A,0x57A7C800,1893822,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0x250C236F,0A,0x5F247000,2035553,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0x26ED7C02,0B,0x15851800,2148530,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0x2855617B,0A,0x562C7800,2242587,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0x2B0D88DC,0A,0x5C1B4000,2012921,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0x2D7DA4AC,0A,0x6458D000,2167074,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0x2E468A93,0B,0x14708800,1903796,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0x2F09C6DC,0B,0xCB93800,1855442,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0x3236005D,0A,0x60B06000,1824308,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0x32A107C7,0A,0x5B2BD000,1996263,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0x33580390,0B,0xE989000,2188958,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0x34C0D263,0B,0x938F000,2021527,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
