crc32,archive,local_off,size,ntex,sample_dims_fmt
0xB4D1D7D6,0A,0x6437B800,2167076,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0xB6A5B5A6,0B,0xCD58800,1849611,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0xB7EAF9E9,0B,0x14537800,1904320,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0xB803C219,0A,0x5EE6E000,1997516,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0xB842FBF9,0B,0xFBD6000,2051731,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0xBCA05015,0A,0x5F056000,2035553,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0xBD259B1A,0A,0x61858000,2314501,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0xBD6FCC64,0A,0x57C4B000,1893822,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0xBDC1D671,0B,0x150D6000,1788795,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0xBF410F78,0B,0x15644800,2148530,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0xC0309AE8,0B,0x105D5000,1671313,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0xC0575E2E,0B,0x10CF6800,1934951,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0xC4D1F65F,0A,0x5A8A1800,2027669,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0xC7EBAFF8,0B,0xC66A800,1659925,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0xC94C91BE,0B,0x8278000,1907477,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0xC98FBDBB,0A,0x59C78000,2449365,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0xCA634C71,0A,0x5C574800,1920650,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0xCEA49399,0A,0x566FC800,2166209,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0xCEC0DE7D,0A,0x5C749800,1993044,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0xD0F16C26,0B,0x11B16800,2339637,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0xD21BDFF8,0B,0xAC46800,2147104,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0xD34A36EB,0A,0x58080800,2139553,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0xD3CFC36A,0A,0x5BA45800,1981509,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0xD76C5166,0A,0x5BC29800,1896538,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0xD92CC335,0B,0x10ECF000,2187297,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0xDB8EA831,0B,0x18731000,1866778,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0xDC3BFD1E,0A,0x58495800,2518618,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0xDEADCB5F,0A,0x55917000,1987439,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0xDEF8BFE5,0B,0x1628A000,2249143,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0xDFAA0829,0A,0x62A5C000,2172774,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0xE0D29871,0B,0xCF1C800,2066908,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0xE1298398,0A,0x61CC3000,2075164,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0xE1AE9E32,0A,0x38E62800,1958330,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0xE1C94DF4,0A,0x6370F000,2094025,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0xE2B5BAA1,0B,0x16AA5000,2065228,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0xE2E50181,0A,0x5FBE3000,1970174,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0xE646938D,0A,0x6019C000,2058457,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0xE6D609E0,0A,0x39041000,2158359,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0xE8B66C1A,0B,0xB49C000,1868035,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0xEA34E4E3,0A,0x5E529000,1944391,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0xEABD0DAD,0A,0x54EEA000,2208954,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0xEC957F4A,0A,0x39E33000,2098027,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0xEE0102EF,0A,0x597FF800,2316775,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0xEE9776EF,0A,0x5EAB2800,1914278,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0xF0628DD8,0B,0xE5FD000,1792026,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0xF124248F,0A,0x5360C800,1990382,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0xF1A36398,0A,0x5AC80800,2266577,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0xF56F5A22,0A,0x571A2000,2274996,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0xF5BAA0A6,0B,0x148D9800,2028941,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0xF61C3CC9,0B,0xE03F800,1914295,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0xF64109E9,0A,0x53C7D800,2266243,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0xF6E3009A,0B,0x1384A000,1814987,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0xF6E49C33,0B,0x8810800,2050621,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0xF73BF9F4,0A,0x5DBD2800,1966011,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0xF7B27E4D,0B,0x11F56000,2112632,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0xF7F7B617,0B,0x976B000,2090931,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0xF837817C,0B,0xBE29800,2147973,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0xF86C2FB2,0B,0x1782A800,2019599,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0xFBE08F21,0A,0x38484800,2350988,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0xFCCD5D0A,0A,0x63D20000,2042503,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0xFD361632,0A,0x593E0800,2160059,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0x591778D9,0B,0x3720D000,234755,5,64x64:565;64x64:8_8;64x64:8;64x64:565;512x128:DXT4_5
0xBC158DF0,0A,0x37421800,639468,5,256x256:DXT5A;512x128:DXT4_5;256x256:DXT4_5;1024x512:DXT1;256x256:DXT1
0xD4555C2B,0B,0x37775000,278747,4,256x256:DXT4_5;256x256:DXT5A;256x32:8_8;256x64:8_8
0x004D1DB8,0A,0x51F36800,1451788,3,1024x1024:565;512x512:565;1024x1024:DXN
0x0090312D,0B,0x25A28000,991581,3,512x512:DXT4_5;512x512:DXN;512x512:DXT1
0x0365711B,0A,0x413DB000,1231233,3,1024x1024:565;512x512:565;1024x1024:DXN
0x03DC92F6,0A,0x40FBC000,1541381,3,1024x1024:565;512x512:565;1024x1024:DXN
0x043EF887,0A,0x3C44E000,1480932,3,1024x1024:565;512x512:565;1024x1024:DXN
0x050BCD91,0B,0x1AE3E000,682863,3,512x512:DXT4_5;512x512:DXN;512x512:DXT5A
0x05121F37,0A,0x3FB26000,1525523,3,1024x1024:565;512x512:565;1024x1024:DXN
0x056571F4,0A,0x400AC800,1250405,3,1024x1024:565;512x512:565;1024x1024:DXN
0x057B4D05,0B,0x20220800,999138,3,512x512:DXT4_5;512x512:DXN;512x512:DXT1
0x05884779,0A,0x488AE000,1497460,3,1024x1024:565;512x512:565;1024x1024:DXN
0x0710AB4C,0A,0x3E8AD800,1514100,3,1024x1024:565;512x512:565;1024x1024:DXN
0x071A6269,0B,0x23945000,1029055,3,512x512:DXT4_5;512x512:DXN;512x512:DXT1
0x075F408C,0B,0x1CF0B000,970295,3,512x512:DXT4_5;512x512:DXN;512x512:DXT1
0x076EE895,0B,0x24F8B000,984949,3,512x512:DXT4_5;512x512:DXN;512x512:DXT1
0x077C19FF,0B,0x25643800,1029290,3,512x512:DXT4_5;512x512:DXN;512x512:DXT1
0x07C6E317,0A,0x41508000,1231233,3,1024x1024:565;512x512:565;1024x1024:DXN
0x0831EA1E,0A,0x4C0F0800,1250398,3,1024x1024:565;512x512:565;1024x1024:DXN
0x0862B821,0A,0x44B1E000,1485034,3,1024x1024:565;512x512:565;1024x1024:DXN
0x086B2F74,0B,0x20035000,1003475,3,512x512:DXT4_5;512x512:DXN;512x512:DXT1
0x09D0275B,0B,0x2544E000,1010355,3,512x512:DXT4_5;512x512:DXN;512x512:DXT1
0x0A13DEDC,0A,0x5265F000,1468416,3,1024x1024:565;512x512:565;1024x1024:DXN
0x0A487012,0A,0x4A346800,1473900,3,1024x1024:565;512x512:565;1024x1024:DXN
0x0B80A02E,0B,0x20F94800,987368,3,512x512:DXT4_5;512x512:DXN;512x512:DXT1
0x0BE8038A,0B,0x1A037000,639732,3,512x512:DXT4_5;512x512:DXN;512x512:DXT5A
0x0C4DDB6D,0A,0x374EE000,194661,3,128x128:DXT1;128x128:DXN;128x128:DXT1
0x0E488575,0B,0x223E0800,1036234,3,512x512:DXT4_5;512x512:DXN;512x512:DXT1
0x0E9936E8,0B,0x1CE2C800,909318,3,512x512:DXT4_5;512x512:DXN;512x512:DXT1
0x0F9679A8,0A,0x51D7800,211974,3,128x128:DXT1;128x128:DXT5A;256x256:DXT4_5
0x0FE1198B,0A,0x4E70B800,1250401,3,1024x1024:565;512x512:565;1024x1024:DXN
0x106BC7BF,0A,0x4384E000,1231233,3,1024x1024:565;512x512:565;1024x1024:DXN
0x1077890A,0B,0x2317F000,970862,3,512x512:DXT4_5;512x512:DXN;512x512:DXT1
0x108563E4,0B,0x25B1A800,998597,3,512x512:DXT4_5;512x512:DXN;512x512:DXT1
0x113E6BCB,0B,0x1E960800,944506,3,512x512:DXT4_5;512x512:DXN;512x512:DXT1
0x12AD691F,0A,0x4B001000,1543204,3,1024x1024:565;512x512:565;1024x1024:DXN
0x12C715FB,0B,0x21B1A000,1039068,3,512x512:DXT4_5;512x512:DXN;512x512:DXT1
0x12EE6A6B,0A,0x3CFE5000,1250417,3,1024x1024:565;512x512:565;1024x1024:DXN
0x134DB5CD,0B,0x225D4000,1013062,3,512x512:DXT4_5;512x512:DXN;512x512:DXT1
0x135672F6,0A,0x4575D000,1452548,3,1024x1024:565;512x512:565;1024x1024:DXN
0x13B6BC9A,0A,0x469A4000,1492823,3,1024x1024:565;512x512:565;1024x1024:DXN
0x13D16F5C,0A,0x3ADA9800,1553637,3,1024x1024:565;512x512:565;1024x1024:DXN
0x141232EF,0A,0x5032B000,1462617,3,1024x1024:565;512x512:565;1024x1024:DXN
0x14C855B3,0A,0x43BD5000,1231233,3,1024x1024:565;512x512:565;1024x1024:DXN
0x14E4BFFA,0B,0x1C89E000,1019250,3,512x512:DXT4_5;512x512:DXN;512x512:DXT1
0x1739E5DF,0A,0x50A5A000,1591039,3,1024x1024:565;512x512:565;1024x1024:DXN
0x178AEBB8,0A,0x4C52000,211980,3,128x128:DXT1;128x128:DXT5A;256x256:DXT4_5
0x1797FFCA,0A,0x3EFF3800,1506939,3,1024x1024:565;512x512:565;1024x1024:DXN
0x18EAECC5,0B,0x1EC1E000,959185,3,512x512:DXT4_5;512x512:DXN;512x512:DXT1
0x1951E4EA,0B,0x25FF3800,975743,3,512x512:DXT4_5;512x512:DXN;512x512:DXT1
0x19A30E04,0B,0x2365C000,1028133,3,512x512:DXT4_5;512x512:DXN;512x512:DXT1
0x1A093D40,0A,0x3A64E000,1499377,3,1024x1024:565;512x512:565;1024x1024:DXN
0x1AC9FE00,0A,0x41D43000,1231233,3,1024x1024:565;512x512:565;1024x1024:DXN
0x1C7EF381,0A,0x401DE000,1470940,3,1024x1024:565;512x512:565;1024x1024:DXN
0x1C91B957,0A,0x36E13800,194661,3,128x128:DXT1;128x128:DXN;128x128:DXT1
0x1E856E26,0A,0x3B056800,1250418,3,1024x1024:565;512x512:565;1024x1024:DXN
0x1EEA8E24,0A,0x3B8E7800,1513268,3,1024x1024:565;512x512:565;1024x1024:DXN
0x1F14357D,0B,0x1F2DB800,1001443,3,512x512:DXT4_5;512x512:DXN;512x512:DXT1
0x1F80A405,0B,0x1EFF9800,992115,3,512x512:DXT4_5;512x512:DXN;512x512:DXT1
0x2007C2CB,0B,0x23468000,1018202,3,512x512:DXT4_5;512x512:DXN;512x512:DXT1
0x20642E96,0A,0x496E8000,1473539,3,1024x1024:565;512x512:565;1024x1024:DXN
0x2081A2D9,0B,0x227BE000,1018211,3,512x512:DXT4_5;512x512:DXN;512x512:DXT1
0x215CD160,0B,0x1F1E5800,1006924,3,512x512:DXT4_5;512x512:DXN;512x512:DXT1
0x228E9D48,0A,0x4E598000,1521588,3,1024x1024:565;512x512:565;1024x1024:DXN
0x22E08DB5,0B,0x1EEFC000,1037803,3,512x512:DXT4_5;512x512:DXN;512x512:DXT1
0x22F27CDF,0B,0x1E86A800,1006583,3,512x512:DXT4_5;512x512:DXN;512x512:DXT1
0x2332D989,0A,0x427D8000,1231233,3,1024x1024:565;512x512:565;1024x1024:DXN
0x235126E4,0A,0x4A38800,211974,3,128x128:DXT1;128x128:DXT5A;256x256:DXT4_5
0x236A2D83,0B,0x1DB20800,954485,3,512x512:DXT4_5;512x512:DXN;512x512:DXT1
0x23E98E0E,0A,0x47686000,1468727,3,1024x1024:565;512x512:565;1024x1024:DXN
0x2431CD5A,0B,0x25EF8800,1026605,3,512x512:DXT4_5;512x512:DXN;512x512:DXT1
0x24BEB817,0A,0x450BF800,1491724,3,1024x1024:565;512x512:565;1024x1024:DXN
0x24C327B4,0B,0x23561000,1027376,3,512x512:DXT4_5;512x512:DXN;512x512:DXT1
0x262A40AD,0A,0x4836A000,1523359,3,1024x1024:565;512x512:565;1024x1024:DXN
0x26614BD4,0A,0x3BD3D800,1482454,3,1024x1024:565;512x512:565;1024x1024:DXN
0x26971CDB,0A,0x4EDBB800,1501579,3,1024x1024:565;512x512:565;1024x1024:DXN
0x270BF19D,0B,0x24AB2800,992048,3,512x512:DXT4_5;512x512:DXN;512x512:DXT1
0x277F7B61,0B,0x23757800,1007445,3,512x512:DXT4_5;512x512:DXN;512x512:DXT1
0x27914B85,0A,0x42B5F000,1231233,3,1024x1024:565;512x512:565;1024x1024:DXN
0x284B1499,0B,0x20502000,1003922,3,512x512:DXT4_5;512x512:DXN;512x512:DXT1
0x29F1595F,0A,0x53148800,1503671,3,1024x1024:565;512x512:565;1024x1024:DXN
0x2A9900ED,0A,0x4628000,93210,3,512x512:DXT1;512x512:DXT1;64x64:8_8
0x2B19512D,0A,0x3F418800,1250410,3,1024x1024:565;512x512:565;1024x1024:DXN
0x2B53325B,0A,0x4DCB2800,1442323,3,1024x1024:565;512x512:565;1024x1024:DXN
0x2BE33CEB,0A,0x4466A000,1231233,3,1024x1024:565;512x512:565;1024x1024:DXN
0x2C1B609E,0B,0x21E11000,1012983,3,512x512:DXT4_5;512x512:DXN;512x512:DXT1
0x2C874E8B,0A,0x516E0800,1454008,3,1024x1024:565;512x512:565;1024x1024:DXN
0x2CADC91F,0A,0x4E3EE000,1743774,3,1024x1024:565;512x512:565;1024x1024:DXN
0x2CD82269,0B,0x1F4B9800,988805,3,512x512:DXT4_5;512x512:DXN;512x512:DXT1
0x2D45928D,0A,0x408F4800,1481713,3,1024x1024:565;512x512:565;1024x1024:DXN
0x2E440C70,0A,0x3F54A000,1584331,3,1024x1024:565;512x512:565;1024x1024:DXN
0x2E7A4FF2,0B,0x1DEF1800,926475,3,512x512:DXT4_5;512x512:DXN;512x512:DXT1
0x2F40AEE7,0A,0x449F1000,1231233,3,1024x1024:565;512x512:565;1024x1024:DXN
0x303C6F2D,0A,0x42451000,1231233,3,1024x1024:565;512x512:565;1024x1024:DXN
0x3064E021,0A,0x3DDBB800,1433731,3,1024x1024:565;512x512:565;1024x1024:DXN
0x30E07AEC,0B,0x2592F800,1016509,3,512x512:DXT4_5;512x512:DXN;512x512:DXT1
0x318AC15E,0B,0x20CBC800,995306,3,512x512:DXT4_5;512x512:DXN;512x512:DXT1
0x324FB3F0,0A,0x43D02000,1231233,3,1024x1024:565;512x512:565;1024x1024:DXN
0x32F65018,0A,0x520B800,211983,3,128x128:DXT1;128x128:DXT5A;256x256:DXT4_5
0x337F7F4A,0B,0x1DA33800,969739,3,512x512:DXT4_5;512x512:DXN;512x512:DXT1
0x33AECCD7,0B,0x244E5800,1029914,3,512x512:DXT4_5;512x512:DXN;512x512:DXT1
0x349FFD21,0A,0x4257E000,1231233,3,1024x1024:565;512x512:565;1024x1024:DXN
0x34A6BF9A,0B,0x1B777000,613208,3,512x512:DXT4_5;512x512:DXN;512x512:DXT5A
0x36882A3A,0B,0x1A0DA800,603791,3,512x512:DXT4_5;512x512:DXN;512x512:DXT5A
0x36E0899E,0B,0x21086000,1005441,3,512x512:DXT4_5;512x512:DXN;512x512:DXT1
0x36EC21FC,0A,0x44089000,1231233,3,1024x1024:565;512x512:565;1024x1024:DXN
0x36F7F45F,0A,0x3E088000,1250406,3,1024x1024:565;512x512:565;1024x1024:DXN
0x380439E8,0A,0x4DA4F800,1250407,3,1024x1024:565;512x512:565;1024x1024:DXN
0x380995DF,0B,0x1F96A000,1011186,3,512x512:DXT4_5;512x512:DXN;512x512:DXT1
0x386BE421,0B,0x1AD9E000,612078,3,512x512:DXT4_5;512x512:DXN;512x512:DXT5A
0x388FF5CD,0B,0x1E4A4000,1002749,3,512x512:DXT4_5;512x512:DXN;512x512:DXT1
0x398335E9,0B,0x1D1C9000,920671,3,512x512:DXT4_5;512x512:DXN;512x512:DXT1
0x39B29DF0,0B,0x24E91000,1022101,3,512x512:DXT4_5;512x512:DXN;512x512:DXT1
0x3A9E5692,0A,0x42EE6000,1231233,3,1024x1024:565;512x512:565;1024x1024:DXN
0x3B33A918,0B,0x1E2BA000,980382,3,512x512:DXT4_5;512x512:DXN;512x512:DXT1
0x3BF04CD5,0A,0x404AB800,1467123,3,1024x1024:565;512x512:565;1024x1024:DXN
0x3BF0EBEF,0B,0x20E98800,1031896,3,512x512:DXT4_5;512x512:DXN;512x512:DXT1
0x3C829199,0A,0x40E76800,1332525,3,1024x1024:565;512x512:565;1024x1024:DXN
0x3D5521FC,0B,0x1CC65800,922006,3,512x512:DXT4_5;512x512:DXN;512x512:DXT1
0x3DA4BB13,0A,0x3CB80000,1520223,3,1024x1024:565;512x512:565;1024x1024:DXN
0x3DCEC845,0A,0x524DD000,1580589,3,1024x1024:565;512x512:565;1024x1024:DXN
0x3DD341EE,0B,0x1D851000,959331,3,512x512:DXT4_5;512x512:DXN;512x512:DXT1
0x3E3DC49E,0A,0x4326D000,1231233,3,1024x1024:565;512x512:565;1024x1024:DXN
0x3F4D8E09,0A,0x48B8A000,1491372,3,1024x1024:565;512x512:565;1024x1024:DXN
0x3F90B46C,0A,0x3AAA7000,1568899,3,1024x1024:565;512x512:565;1024x1024:DXN
0x4048F257,0B,0x25834800,1027326,3,512x512:DXT4_5;512x512:DXN;512x512:DXT1
0x40FF3A5C,0B,0x1CFF8000,927753,3,512x512:DXT4_5;512x512:DXN;512x512:DXT1
0x414D71A7,0A,0x51B08000,1466786,3,1024x1024:565;512x512:565;1024x1024:DXN
0x4230C4B4,0A,0x373F1800,194661,3,128x128:DXT1;128x128:DXN;128x128:DXT1
0x424E5FB4,0A,0x49C8D000,1525687,3,1024x1024:565;512x512:565;1024x1024:DXN
0x425CE145,0A,0x434C7000,1231233,3,1024x1024:565;512x512:565;1024x1024:DXN
0x42ABB741,0B,0x1AC42000,649842,3,512x512:DXT4_5;512x512:DXN;512x512:DXT5A
0x435197E3,0B,0x1CA94000,910337,3,512x512:DXT4_5;512x512:DXN;512x512:DXT1
0x43768E8B,0B,0x1BAB8800,658499,3,512x512:DXT4_5;512x512:DXN;512x512:DXT5A
0x4386E36F,0A,0x3E2EB000,1499447,3,1024x1024:565;512x512:565;1024x1024:DXN
0x4576FCDC,0A,0x4562B800,1250401,3,1024x1024:565;512x512:565;1024x1024:DXN
0x46AE26B8,0A,0x4722E800,1517799,3,1024x1024:565;512x512:565;1024x1024:DXN
0x46FF7349,0A,0x435F4000,1231233,3,1024x1024:565;512x512:565;1024x1024:DXN
0x471268BE,0A,0x51001800,1235726,3,1024x1024:565;512x512:565;1024x1024:DXN
0x4A3D0A97,0A,0x4CF0B800,1506755,3,1024x1024:565;512x512:565;1024x1024:DXN
0x4A8D0427,0A,0x442E3000,1231233,3,1024x1024:565;512x512:565;1024x1024:DXN
0x4AD2C362,0B,0x23EF3000,1016050,3,512x512:DXT4_5;512x512:DXN;512x512:DXT1
0x4C322B94,0B,0x207F2000,990845,3,512x512:DXT4_5;512x512:DXN;512x512:DXT1
0x4C48795A,0B,0x19F92000,646090,3,512x512:DXT4_5;512x512:DXN;512x512:DXT5A
0x4DAA7AC8,0B,0x23B3D000,897264,3,512x512:DXT4_5;512x512:DXN;512x512:DXT1
0x4E2E962B,0A,0x44410000,1231233,3,1024x1024:565;512x512:565;1024x1024:DXN
0x4E705D8B,0B,0x25545000,1041510,3,512x512:DXT4_5;512x512:DXN;512x512:DXT1
0x4EF6D260,0A,0x4AD9E000,1250420,3,1024x1024:565;512x512:565;1024x1024:DXN
0x4FCB55A4,0B,0x2012A000,1009638,3,512x512:DXT4_5;512x512:DXN;512x512:DXT1
0x4FF4258F,0B,0x195FB000,672978,3,512x512:DXT4_5;512x512:DXN;512x512:DXT5A
0x502A9168,0A,0x4C86000,211980,3,128x128:DXT1;128x128:DXT5A;256x256:DXT4_5
0x50DBC08C,0B,0x24BA5000,1011853,3,512x512:DXT4_5;512x512:DXN;512x512:DXT1
0x51371B2C,0B,0x205F7800,1040249,3,512x512:DXT4_5;512x512:DXN;512x512:DXT1
0x525AF464,0B,0x1ED08800,1039905,3,512x512:DXT4_5;512x512:DXN;512x512:DXT1
0x52DCEF89,0A,0x3BEA7800,1479889,3,1024x1024:565;512x512:565;1024x1024:DXN
0x551BCB9C,0A,0x4F7A1800,1516879,3,1024x1024:565;512x512:565;1024x1024:DXN
0x551C5735,0A,0x47C35800,1506632,3,1024x1024:565;512x512:565;1024x1024:DXN
0x553FC6DF,0A,0x4864B000,1250418,3,1024x1024:565;512x512:565;1024x1024:DXN
0x556D46B5,0A,0x45B89800,1473300,3,1024x1024:565;512x512:565;1024x1024:DXN
0x56426BA0,0A,0x505F9800,1476894,3,1024x1024:565;512x512:565;1024x1024:DXN
0x56DB33FE,0B,0x21C18000,1035394,3,512x512:DXT4_5;512x512:DXN;512x512:DXT1
0x5714B12D,0B,0x1E0D0800,990799,3,512x512:DXT4_5;512x512:DXN;512x512:DXT1
0x574362A2,0B,0x22E93800,1039698,3,512x512:DXT4_5;512x512:DXN;512x512:DXT1
0x588B8184,0A,0x4BE56800,1476166,3,1024x1024:565;512x512:565;1024x1024:DXN
0x5A904224,0B,0x1C5AB800,1024029,3,512x512:DXT4_5;512x512:DXN;512x512:DXT1
0x5C27795D,0B,0x206F5800,1033448,3,512x512:DXT4_5;512x512:DXN;512x512:DXT1
0x5CE40F67,0A,0x4BB80800,1470261,3,1024x1024:565;512x512:565;1024x1024:DXN
0x5CEE3BA5,0A,0x3D248000,1583556,3,1024x1024:565;512x512:565;1024x1024:DXN
0x5D394813,0B,0x228B7000,1001333,3,512x512:DXT4_5;512x512:DXN;512x512:DXT1
0x5F35960C,0A,0x46C7B000,1499638,3,1024x1024:565;512x512:565;1024x1024:DXN
0x5F53FC52,0A,0x42C8C000,1231233,3,1024x1024:565;512x512:565;1024x1024:DXN
0x5FCCF607,0B,0x1F6A8800,930929,3,512x512:DXT4_5;512x512:DXN;512x512:DXT1
