team,category,iff,archive,offset,size,resolved,label,crc32
mtl,Creation Zone Logo,disc_0d62ca69.iff,0B,0x19E6800,0xB6A12,1,LA Kings Alt #2 - Creation Logo,0x0D62CA69
uniforms,uniform_components,disc_0e9a8891.iff,0B,0x174C6800,0x1B1B41,1,Uniform component - 2048x512 DXN,0x0E9A8891
uniforms,uniform_components,disc_0ef0fbc7.iff,0A,0x5490B800,0x1D01EF,1,Uniform component - 2048x512 DXN,0x0EF0FBC7
uniforms,uniform_components,disc_0ff9b242.iff,0A,0x5E351000,0x1D7991,1,Uniform component - 2048x512 DXN,0x0FF9B242
uniforms,Team-Select Jersey Decal,disc_10204893.iff,0B,0x66F8800,0xBE95D,1,Sweden Jersey Decal (Home or Away),0x10204893
uniforms,Creation Zone Logo,disc_1068b8e8.iff,0A,0x6A444800,0xB148C,1,"Custom Jersey Decal (recolorable, no logo)",0x1068B8E8
uniforms,uniform_components,disc_12b5856c.iff,0B,0xA5BC000,0x22F76F,1,Uniform component - 2048x512 DXN,0x12B5856C
uniforms,uniform_components,disc_12f6af55.iff,0A,0x5D275800,0x1E3F7A,1,Uniform component - 2048x512 DXN,0x12F6AF55
uniforms,Team-Select Jersey Decal,disc_1379e8af.iff,0B,0x5F24000,0xBA5BD,1,Slovakia Jersey Decal (Home or Away),0x1379E8AF
uniforms,Team-Select Jersey Decal,disc_137e7406.iff,0B,0x151B000,0xD7847,1,Kazakhstan Jersey Decal (Home or Away),0x137E7406
pit,Team-Select Jersey Decal,disc_139f8b77.iff,0B,0x5017800,0xF0505,1,Pittsburgh Alternate Jersey Decal,0x139F8B77
sjs,Creation Zone Logo,disc_14256b17.iff,0B,0x1322F800,0x234895,1,San Jose Sharks #2 - Creation Logo,0x14256B17
uniforms,uniform_components,disc_142a4603.iff,0B,0x17C02800,0x1EA7E7,1,Uniform component - 2048x512 DXN,0x142A4603
uniforms,uniform,disc_1446b2df.iff,0B,0x6A4A800,0x8C0B8,1,Team-Select Jersey Decals - unidentified (browse preview to identify team),0x1446B2DF
stl,Creation Zone Logo,disc_14be17cd.iff,0B,0x13E8B000,0x239901,1,St Louis Blues #2 - Creation Logo,0x14BE17CD
cgy,Team-Select Jersey Decal,disc_14beccba.iff,0A,0x65BE8800,0xB639A,1,Belarus Jersey Decal (Home or Away),0x14BECCBA
custom,uniform_customizable,disc_14cb2ae4.iff,0A,0x6A661800,0xB982D,1,Customizable-team jersey template (RGB tint),0x14CB2AE4
uniforms,uniform,disc_14e8a8ca.iff,0A,0x67999000,0x8FE30,1,Team-Select Jersey Decals - unidentified (browse preview to identify team),0x14E8A8CA
uniforms,uniform_components,disc_157e0079.iff,0B,0x8E1A800,0x1BAE09,1,Uniform component - 2048x512 DXN,0x157E0079
cgy,Team-Select Jersey Decal,disc_15931516.iff,0B,0x39FD800,0xDB2B7,1,NY Rangers Jersey Decal (Home or Away),0x15931516
uniforms,uniform_components,disc_16553d59.iff,0A,0x5D818000,0x1DA5C3,1,Uniform component - 2048x512 DXN,0x16553D59
uniforms,uniform_components,disc_1673d77f.iff,0B,0x15A5E800,0x20415F,1,Uniform component - 2048x512 DXN,0x1673D77F
custom,uniform_customizable,disc_16abded6.iff,0B,0x317F800,0xC11A2,1,Customizable-team jersey template (RGB tint),0x16ABDED6
uniforms,Creation Zone Logo,disc_16b75940.iff,0B,0xF92800,0xE562B,1,Florida Panthers #2 - Creation Logo,0x16B75940
cgy,Team-Select Jersey Decal,disc_16f073b8.iff,0A,0x67E09000,0x13186B,1,Calgary Jersey Decal (Home or Away),0x16F073B8
uniforms,uniform_components,disc_17eaf8c3.iff,0A,0x61478800,0x1BA9B9,1,Uniform component - 2048x512 DXN,0x17EAF8C3
uniforms,uniform_components,disc_19307bf5.iff,0A,0x6286C000,0x1EFFE8,1,Uniform component - 2048x512 DXN,0x19307BF5
uniforms,Team-Select Jersey Decal,disc_1957b53f.iff,0B,0xBBE000,0xDBBA3,1,Finland Jersey Decal (Home or Away),0x1957B53F
phi,Creation Zone Logo,disc_1a24756f.iff,0B,0x4742000,0xD946D,1,Philadelphia Flyers #2 - Creation Logo,0x1A24756F
uniforms,uniform_components,disc_1a274a37.iff,0A,0x60393000,0x1D1A5F,1,Uniform component - 2048x512 DXN,0x1A274A37
uniforms,Creation Zone Logo,disc_1aca8157.iff,0A,0x6954A000,0xB249C,1,"Custom Jersey Decal (recolorable, no logo)",0x1ACA8157
uniforms,uniform_components,disc_1ad20411.iff,0B,0xD9AC800,0x226A4D,1,Uniform component - 2048x512 DXN,0x1AD20411
uniforms,Creation Zone Logo,disc_1d2bf06a.iff,0A,0x6B4EC000,0xE45BE,1,Minnesota North Stars #2 (Dallas) - Creation Logo,0x1D2BF06A
uniforms,uniform_components,disc_1e11d259.iff,0A,0x5A4B6000,0x1C1F3D,1,Uniform component - 2048x512 DXN,0x1E11D259
uniforms,uniform_components,disc_1e84d83b.iff,0A,0x6091E800,0x1E7437,1,Uniform component - 2048x512 DXN,0x1E84D83B
uniforms,Creation Zone Logo,disc_1f4f6408.iff,0B,0x6D28800,0xE5C8A,1,Tampa Bay #2 - Creation Logo,0x1F4F6408
uniforms,uniform_components,disc_1fe2b956.iff,0B,0xBC31800,0x1F7832,1,Uniform component - 2048x512 DXN,0x1FE2B956
uniforms,uniform_components,disc_1ff989cb.iff,0B,0x11781800,0x1CA64E,1,Uniform component - 2048x512 DXN,0x1FF989CB
bos,Team-Select Jersey Decal,disc_20b44e5b.iff,0A,0x66092800,0x115B41,1,Boston Jersey Decal (Home or Away),0x20B44E5B
custom,uniform_customizable,disc_2118f9fd.iff,0B,0x37F5800,0xEDD70,1,Customizable-team jersey template (RGB tint),0x2118F9FD
uniforms,uniform_components,disc_21afb163.iff,0A,0x5EC86000,0x1E7ACC,1,Uniform component - 2048x512 DXN,0x21AFB163
uniforms,uniform_components,disc_21ee8883.iff,0B,0xFDCB000,0x1F605B,1,Uniform component - 2048x512 DXN,0x21EE8883
ana,uniform,disc_22fa8619.iff,0B,0x28F000,0xCBE51,1,Team-Select Jersey Decals - unidentified (browse preview to identify team),0x22FA8619
uniforms,Creation Zone Logo,disc_2331a6de.iff,0A,0x69B26800,0xAE796,1,"Custom Jersey Decal (recolorable, no logo)",0x2331A6DE
uniforms,uniform_components,disc_246da50b.iff,0B,0x1528B000,0x1B4B7B,1,Uniform component - 2048x512 DXN,0x246DA50B
uniforms,uniform_components,disc_2489e860.iff,0A,0x61A8D800,0x235105,1,Uniform component - 2048x512 DXN,0x2489E860
uniforms,uniform_components,disc_24c3bf1e.iff,0A,0x57A7C800,0x1CE5BE,1,Uniform component - 2048x512 DXN,0x24C3BF1E
uniforms,uniform_components,disc_250c236f.iff,0A,0x5F247000,0x1F0F61,1,Uniform component - 2048x512 DXN,0x250C236F
uniforms,uniform,disc_255517ad.iff,0B,0x1870800,0x8B256,1,Team-Select Jersey Decals - unidentified (browse preview to identify team),0x255517AD
uniforms,Creation Zone Logo,disc_2640a15c.iff,0B,0x2B0D800,0xC0EBB,1,Colorado Rockies #2 - Creation Logo,0x2640A15C
uniforms,uniform_components,disc_26ed7c02.iff,0B,0x15851800,0x20C8B2,1,Uniform component - 2048x512 DXN,0x26ED7C02
uniforms,Creation Zone Logo,disc_279234d2.iff,0A,0x69D29000,0xA56E6,1,"Custom Jersey Decal (recolorable, no logo)",0x279234D2
uniforms,uniform,disc_27c1ef17.iff,0A,0x6B22B000,0x86663,1,Team-Select Jersey Decals - unidentified (browse preview to identify team),0x27C1EF17
uniforms,uniform_components,disc_2855617b.iff,0A,0x562C7800,0x22381B,1,Uniform component - 2048x512 DXN,0x2855617B
uniforms,Creation Zone Logo,disc_297f7880.iff,0B,0x21A8000,0xF902B,1,Minnesota Wild - Creation Logo,0x297F7880
uniforms,uniform_components,disc_2b0d88dc.iff,0A,0x5C1B4000,0x1EB6F9,1,Uniform component - 2048x512 DXN,0x2B0D88DC
