base,file_off,w,h,fmt,mip0,foot
21370752,58408960,128,128,DXT1,8192,32768
21370976,58441728,128,64,8888,32768,45056
21371200,58486784,64,64,8888,16384,24576
21371424,58511360,256,256,DXT4_5,65536,131072
21371648,58642432,64,64,8888,16384,24576
21371872,58667008,256,256,DXT4_5,65536,65536
21372096,58732544,256,256,DXT4_5,65536,65536
21372320,58798080,256,256,DXT4_5,65536,65536
21372544,58863616,64,64,565,8192,16384
21372768,58880000,64,64,565,8192,16384
21372992,58896384,64,64,8888,16384,24576
21373216,58920960,256,256,DXT4_5,65536,131072
21373440,59052032,128,128,DXT4_5,16384,65536
21373664,59117568,512,512,DXT4_5,262144,393216
21373888,59510784,64,64,8888,16384,24576
21374112,59535360,256,256,DXT4_5,65536,131072
21374336,59666432,256,128,DXT1,16384,40960
21374560,59707392,256,128,DXT1,16384,40960
21374784,59748352,256,128,DXT1,16384,40960
21375008,59789312,256,128,DXT1,16384,40960
21375232,59830272,256,128,DXT1,16384,40960
21375680,60657664,256,256,DXT5A,32768,65536
21375904,60723200,64,64,8_8,8192,8192
21376128,60731392,128,128,DXT1,8192,32768
21376352,60764160,64,64,565,8192,16384
21376576,60780544,128,64,8888,32768,45056
21376800,60825600,256,256,DXT4_5,65536,131072
21377024,60956672,64,64,8,4096,12288
21377248,60968960,64,64,8,4096,12288
21377472,60981248,128,128,8_8,32768,49152
21377696,61030400,64,64,8,4096,12288
21377920,61042688,64,64,8,4096,12288
21378144,61054976,256,256,DXT5A,32768,65536
21378592,61513728,512,128,DXT1,32768,65536
21378816,61579264,128,128,DXT4_5,16384,65536
21379264,61710336,128,128,DXT4_5,16384,65536
21379488,61775872,1024,512,DXT1,262144,368640
21379712,62144512,512,512,DXT1,131072,196608
21379936,62341120,128,128,DXT4_5,16384,65536
21380160,62406656,256,256,DXT1,32768,65536
21380608,62865408,512,512,DXN,262144,393216
21380832,63258624,256,256,DXT4_5,65536,131072
21381056,63389696,64,64,8_8,8192,16384
21381280,63406080,512,256,DXT5A,65536,106496
21381504,63512576,512,256,DXT4_5,131072,212992
21381952,64512000,256,256,DXT4_5,65536,131072
21382176,64643072,512,256,DXT5A,65536,106496
21382400,64749568,256,256,DXT4_5,65536,131072
21382624,64880640,64,64,8_8,8192,16384
21382848,64897024,64,64,8888,16384,24576
21383072,64921600,64,64,8888,16384,24576
21383296,64946176,128,128,DXT4_5,16384,65536
21383520,65011712,64,64,8,4096,12288
21383968,65028096,128,128,8,16384,28672
21384192,65056768,128,128,DXT4_5,16384,65536
21384640,65908736,256,256,DXT4_5,65536,131072
21384864,66039808,512,512,DXT1,131072,196608
21385088,66236416,128,128,8,16384,28672
21385312,66265088,128,32,8888,16384,24576
21385760,66355200,128,128,8,16384,28672
21385984,66383872,64,64,8_8,8192,16384
